id,question,model,answer,gt_number,isTrue,extract_answer
nfl_1914_ff3b66cf-74ed-4f48-ad46-1f55b6ee6dc4," Coming off their win over the Vikings, the Dolphins went home, donned their alternate uniforms, and played their Week 3 home-opener against their AFC East foe, the New York Jets, on Sunday night.  Miami trailed early in the first quarter as Jets quarterback Mark Sanchez completed a 24-yard touchdown pass to tight end Dustin Keller.  The Dolphins' deficit would increase in the second quarter as Sanchez hooked up with Keller again on a 3-yard touchdown pass.  Miami would respond with quarterback Chad Henne completing a 3-yard touchdown pass to tight end Anthony Fasano, followed by kicker Dan Carpenter making a 44-yard field goal. The Dolphins would take the lead in the third quarter as Henne connected with wide receiver Brandon Marshall on an 11-yard touchdown pass, but New York would immediately respond as Sanchez found wide receiver Braylon Edwards on a 67-yard touchdown pass.  Miami would answer with Carpenter's 20-yard field goal.  In the fourth quarter, the Jets would add onto their lead as kicker Nick Folk got a 30-yard field goal.  The Dolphins would chip away as their deficit as Carpenter booted a 50-yard field goal, but New York would pull away as running back LaDainian Tomlinson got a 1-yard touchdown run.  Miami tried to rally, but the Jets' defense held on for the win. How many more yard did Sanchez's 67 yard touch down compare to  Henne's 11 yard touch down?",70b,"Reformatted Question: Coming off their win over the Vikings, the Dolphins went home, donned their alternate uniforms, and played their Week 3 home-opener against their AFC East foe, the New York Jets, on Sunday night.  Miami trailed early in the first quarter as Jets quarterback Mark Sanchez completed a 24-yard touchdown pass to tight end Dustin Keller.  The Dolphins' deficit would increase in the second quarter as Sanchez hooked up with Keller again on a 3-yard touchdown pass.  Miami would respond with quarterback Chad Henne completing a 3-yard touchdown pass to tight end Anthony Fasano, followed by kicker Dan Carpenter making a 44-yard field goal. The Dolphins would take the lead in the third quarter as <fact1>Henne connected with wide receiver Brandon Marshall on an 11-yard touchdown pass</fact1>, but New York would immediately respond as <fact2>Sanchez found wide receiver Braylon Edwards on a 67-yard touchdown pass</fact2>.  Miami would answer with Carpenter's 20-yard field goal.  In the fourth quarter, the Jets would add onto their lead as kicker Nick Folk got a 30-yard field goal.  The Dolphins would chip away as their deficit as Carpenter booted a 50-yard field goal, but New York would pull away as running back LaDainian Tomlinson got a 1-yard touchdown run.  Miami tried to rally, but the Jets' defense held on for the win. How many more yard did Sanchez's 67 yard touch down compare to  Henne's 11 yard touch down?

Answer: According to the passage, <fact2>Sanchez's touchdown pass was 67 yards</fact2>, and <fact1>Henne's touchdown pass was 11 yards</fact1>. <fact2>67</fact2> - <fact1>11</fact1> = 56. So the answer is {56}.",56,True,56.0
history_1250_09caacad-a7ac-45c9-97de-77953711feb5,"Armenia gave way to communist power in late 1920. The Soviet 11th Red Army's invasion of the First Republic of Armenia started on the 29th of November 1920. The actual transfer of power took place on December 2 in Yerevan, when the Armenian leadership approved an ultimatum presented to it by the Soviet plenipotentiary Boris Legran. Armenia agreed to join the Soviet sphere, while Soviet Russia agreed to protect its remaining territory from the advancing Turkish army. The Soviets also pledged to take steps to rebuild the army, to protect the Armenians and not to persecute non-communists, although the final condition of this pledge was reneged when the Dashnaks were forced out of the country. The Soviet Government proposed the annexation of the Nagorno-Karabagh and Syunik regions of Armenia to Soviet Azerbaijan. This step was strongly rejected by Garegin Nzhdeh, who declared Syunik as a self-governing region on December 25, 1920. In January 1921 Drastamat Kanayan sent a telegram to Njdeh, suggesting allowing the sovietisation of Syunik, through which they could gain the support of the Bolshevik government in solving the problems of the Armenian lands. Njdeh again proved himself as a long-sighted politician, he did not depart from Syunik and continued his struggle against the Red Army and Soviet Azerbaijan. How many years passed from when Armenia gave way to communist power to when Drastamat Kanayan sent a telegram to Njdeh?",70b,"Reformatted Question: Armenia gave way to communist power in <fact1>late 1920</fact1>. The Soviet 11th Red Army's invasion of the First Republic of Armenia started on the 29th of November 1920. The actual transfer of power took place on December 2 in Yerevan, when the Armenian leadership approved an ultimatum presented to it by the Soviet plenipotentiary Boris Legran. Armenia agreed to join the Soviet sphere, while Soviet Russia agreed to protect its remaining territory from the advancing Turkish army. The Soviets also pledged to take steps to rebuild the army, to protect the Armenians and not to persecute non-communists, although the final condition of this pledge was reneged when the Dashnaks were forced out of the country. The Soviet Government proposed the annexation of the Nagorno-Karabagh and Syunik regions of Armenia to Soviet Azerbaijan. This step was strongly rejected by Garegin Nzhdeh, who declared Syunik as a self-governing region on December 25, 1920. In <fact2>January 1921</fact2> Drastamat Kanayan sent a telegram to Njdeh, suggesting allowing the sovietisation of Syunik, through which they could gain the support of the Bolshevik government in solving the problems of the Armenian lands. Njdeh again proved himself as a long-sighted politician, he did not depart from Syunik and continued his struggle against the Red Army and Soviet Azerbaijan. How many years passed from when Armenia gave way to communist power to when Drastamat Kanayan sent a telegram to Njdeh?

Answer: According to the passage, Armenia gave way to communist power in <fact1>late 1920</fact1>, and Drastamat Kanayan sent a telegram to Njdeh in <fact2>January 1921</fact2>. Since <fact1>late 1920</fact1> refers to the last part of the year, and <fact2>January 1921</fact2> refers to the beginning of the next year, the difference is approximately 1 year. So the answer is {1}.",1,True,1.0
nfl_1304_8ada3105-263f-42f1-9d33-e22481fcbb7d," The Redskins played the winless St. Louis Rams in week 6. The Redskins obtained an early lead when RB Clinton Portis scored on a 3-yard TD run.  The Rams responded with a Josh Brown 51-yard field goal. St. Louis scored again later in the second quarter when free safety Oshiomogho Atogwe returned a fumble 75 yards for a touchdown. The Rams increased their lead as Brown kicked field goals of 25 and 44 yards early in the 2nd half.  In the fourth quarter, Washington regained the lead with a Shaun Suisham 38-yard field goal and a Clinton Portis 2-yard rushing TD. St. Louis would come back to win the game on a 49-yard Brown field goal. How many rushing touchdowns of under 5-yards were scored?",70b,"Reformatted Question: The Redskins played the winless St. Louis Rams in week 6. The Redskins obtained an early lead when <fact1>RB Clinton Portis scored on a 3-yard TD run</fact1>.  The Rams responded with a Josh Brown 51-yard field goal. St. Louis scored again later in the second quarter when free safety Oshiomogho Atogwe returned a fumble 75 yards for a touchdown. The Rams increased their lead as Brown kicked field goals of 25 and 44 yards early in the 2nd half.  In the fourth quarter, Washington regained the lead with a Shaun Suisham 38-yard field goal and <fact2>a Clinton Portis 2-yard rushing TD</fact2>. St. Louis would come back to win the game on a 49-yard Brown field goal. How many rushing touchdowns of under 5-yards were scored?

Answer: According to the passage, <fact1>Clinton Portis scored on a 3-yard TD run</fact1> and <fact2>Clinton Portis scored a 2-yard rushing TD</fact2>. Both of these rushing touchdowns were under 5 yards. Therefore, the answer is 2.",2,False,-99999999999999.0
history_200_6153eb8b-88b3-40b7-9644-129f36fde149,"Charles reached Rome in 1265, but was temporarily halted by financial embarrassments. Manfred, however, did not take the field against him until January 1266, when Charles' main army had crossed the Alps. Alarmed by desertions among his followers and fearing further treachery, Manfred sought to bring Charles to battle as swiftly as possible. Charles attempted to turn Manfred's position at Capua by a perilous crossing of the Apennines which wrecked his supply line; but Manfred had intelligence of his move and lay in a strong position across the River Calore, crossed only by one bridge. Charles had divided his cavalry into three ""battles"". The infantry and the first battle, consisting of 900 Provençals were at the front, commanded by Marshal of France Hugh of Mirepoix and Philip of Montfort, Lord of Castres. Behind them were the second battle, which consisted of 400 Italians and 1,000 men of Languedoc and central France. Charles commanded the second battle in person. Behind them, the third battle consisted of about 700 men from the county of Flanders under Constable of France Gilles II de Trasignies and Robert III of Flanders. Manfred had adopted similar dispositions. His Saracen archers were in the fore. Behind them was the first battle, 1,200 German mercenaries armed in coats of plates, commanded by his cousin Giordano d'Anglano and Galvano of Anglona. The second battle consisted of the Italian mercenaries, about 1,000, and 300 Saracen light horse, commanded by his uncle Galvano Lancia. The third battle, numbering 1,400, were the feudatories of the Kingdom, under Manfred's personal command. How many men in all made up Charles' cavalry?",70b,"Reformatted Question: Charles reached Rome in 1265, but was temporarily halted by financial embarrassments. Manfred, however, did not take the field against him until January 1266, when Charles' main army had crossed the Alps. Alarmed by desertions among his followers and fearing further treachery, Manfred sought to bring Charles to battle as swiftly as possible. Charles attempted to turn Manfred's position at Capua by a perilous crossing of the Apennines which wrecked his supply line; but Manfred had intelligence of his move and lay in a strong position across the River Calore, crossed only by one bridge. Charles had divided his cavalry into three ""battles"". The infantry and the first battle, consisting of <fact1>900 Provençals</fact1> were at the front, commanded by Marshal of France Hugh of Mirepoix and Philip of Montfort, Lord of Castres. Behind them were the second battle, which consisted of <fact2>400 Italians</fact2> and <fact3>1,000 men of Languedoc and central France</fact3>. Charles commanded the second battle in person. Behind them, the third battle consisted of <fact4>about 700 men from the county of Flanders</fact4> under Constable of France Gilles II de Trasignies and Robert III of Flanders. Manfred had adopted similar dispositions. His Saracen archers were in the fore. Behind them was the first battle, 1,200 German mercenaries armed in coats of plates, commanded by his cousin Giordano d'Anglano and Galvano of Anglona. The second battle consisted of the Italian mercenaries, about 1,000, and 300 Saracen light horse, commanded by his uncle Galvano Lancia. The third battle, numbering 1,400, were the feudatories of the Kingdom, under Manfred's personal command. How many men in all made up Charles' cavalry?

Answer: According to the passage, Charles' cavalry consisted of three battles: the first battle had <fact1>900 Provençals</fact1>, the second battle had <fact2>400 Italians</fact2> and <fact3>1,000 men of Languedoc and central France</fact3>, and the third battle had <fact4>about 700 men from the county of Flanders</fact4>. To find the total number of men in Charles' cavalry, we need to add these numbers together: <fact1>900</fact1> + <fact2>400</fact2> + <fact3>1,000</fact3> + <fact4>700</fact4> = 3,000. So the answer is {3,000}.",1400,False,3000.0
history_1019_7d68bc90-8b3d-4fb4-89a8-6a0f125e1286,"Although it failed to dislodge the Burmese from Kengtung and Sipsongpanna at the beginning of the century , Siam never gave up its claims on these lands. They tested the waters in 1849, by raiding as far north as Kengtung. But when the Second Anglo-Burmese War started, the Siamese viewed it as their opportunity to take over the trans-Salween states. In late 1852, a large infantry and elephant force marched from Chiang Mai and launched a two-pronged invasion of Kengtung. Burma couldrespond only after the new king Mindon had seized power in February 1853. Because he was still concerned about the British threat, Mindon could only send several thousand infantry troops from the Mone  garrison to relieve the Siamese siege of Kengtung. With the troops by Kenghung sawbwa, the Burmese eventually drove out the Siamese but only after heavy loss of life. In 1854, the largest Siamese invasion force, consisted of Laotian levies, tried once more. But this time, with the British front quiet, the Burmese were ready. Mindon had deployed a larger, well-equipped army . The Siamese forces again reached Kengtung but could not break through. The Siamese forces withdrew to the border in May 1855. How many did it fail to dislodge the Burmese from?",70b,"Reformatted Question: Although it failed to dislodge the Burmese from <fact1>Kengtung and Sipsongpanna</fact1> at the beginning of the century , Siam never gave up its claims on these lands. They tested the waters in 1849, by raiding as far north as Kengtung. But when the Second Anglo-Burmese War started, the Siamese viewed it as their opportunity to take over the trans-Salween states. In late 1852, a large infantry and elephant force marched from Chiang Mai and launched a two-pronged invasion of Kengtung. Burma couldrespond only after the new king Mindon had seized power in February 1853. Because he was still concerned about the British threat, Mindon could only send several thousand infantry troops from the Mone  garrison to relieve the Siamese siege of Kengtung. With the troops by Kenghung sawbwa, the Burmese eventually drove out the Siamese but only after heavy loss of life. In 1854, the largest Siamese invasion force, consisted of Laotian levies, tried once more. But this time, with the British front quiet, the Burmese were ready. Mindon had deployed a larger, well-equipped army . The Siamese forces again reached Kengtung but could not break through. The Siamese forces withdrew to the border in May 1855. How many did it fail to dislodge the Burmese from?

Answer: According to the passage, Siam failed to dislodge the Burmese from <fact1>2 places: Kengtung and Sipsongpanna</fact1>.",2,False,-99999999999999.0
nfl_1516_8b4f47b1-0224-4091-958a-ac47e1f77507," Hoping to rebound from their fourth-quarter collapse to the Panthers, the Vikings flew to Soldier Field to face Jay Cutler and the Chicago Bears in a Week 16 rematch to conclude the 40th season of Monday Night Football. Due to the Saints losing to Tampa Bay 20-17 in overtime the previous day, the Vikings needed to win their last two games and have the Saints lose to Carolina the next week in order to clinch homefield advantage. In the first quarter, the Bears drew first blood as kicker Robbie Gould nailed a 22-yard field goal for the only score of the period. In the second quarter, the Bears increased their lead with Gould nailing a 42-yard field goal. They increased their lead with Cutler firing a 7-yard TD pass to tight end Greg Olsen. The Bears then closed out the first half with Gould's 41-yard field goal. In the third quarter, the Vikes started to rally with running back Adrian Peterson's 1-yard touchdown run (with the extra point attempt blocked). The Bears increased their lead over the Vikings with Cutler's 2-yard TD pass to tight end Desmond Clark. The Vikings then closed out the quarter with quarterback Brett Favre firing a 6-yard TD pass to tight end Visanthe Shiancoe. An exciting fourth quarter ensued. The Vikings started out the quarter's scoring with kicker Ryan Longwell's 41-yard field goal, along with Adrian Peterson's second 1-yard TD run. The Bears then responded with Cutler firing a 20-yard TD pass to wide receiver Earl Bennett. The Vikings then completed the remarkable comeback with Favre finding wide receiver Sidney Rice on a 6-yard TD pass on 4th-and-goal with 15 seconds left in regulation. The Bears then took a knee to force overtime. In overtime, the Bears won the toss and marched down the field, stopping at the 35-yard line. However, the potential game-winning 45-yard field goal attempt by Gould went wide right, giving the Vikings a chance to win. After an exchange of punts, the Vikings had the ball at the 26-yard line with 11 minutes left in the period. On the first play of scrimmage, Favre fired a screen pass to Peterson who caught it and went 16 yards, before being confronted by Hunter Hillenmeyer, who caused Peterson to fumble the ball, which was then recovered by Bears' linebacker Nick Roach. The Bears then won on Jay Cutler's game-winning 39-yard TD pass to wide receiver Devin Aromashodu. With the loss, not only did the Vikings fall to 11-4, they also surrendered homefield advantage to the Saints. How many 1-yard touchdown runs were made in the game?",70b,"Reformatted Question: Hoping to rebound from their fourth-quarter collapse to the Panthers, the Vikings flew to Soldier Field to face Jay Cutler and the Chicago Bears in a Week 16 rematch to conclude the 40th season of Monday Night Football. Due to the Saints losing to Tampa Bay 20-17 in overtime the previous day, the Vikings needed to win their last two games and have the Saints lose to Carolina the next week in order to clinch homefield advantage. In the first quarter, the Bears drew first blood as kicker Robbie Gould nailed a 22-yard field goal for the only score of the period. In the second quarter, the Bears increased their lead with Gould nailing a 42-yard field goal. They increased their lead with Cutler firing a 7-yard TD pass to tight end Greg Olsen. The Bears then closed out the first half with Gould's 41-yard field goal. In the third quarter, the Vikes started to rally with <fact1>running back Adrian Peterson's 1-yard touchdown run</fact1> (with the extra point attempt blocked). The Bears increased their lead over the Vikings with Cutler's 2-yard TD pass to tight end Desmond Clark. The Vikings then closed out the quarter with quarterback Brett Favre firing a 6-yard TD pass to tight end Visanthe Shiancoe. An exciting fourth quarter ensued. The Vikings started out the quarter's scoring with kicker Ryan Longwell's 41-yard field goal, along with <fact2>Adrian Peterson's second 1-yard TD run</fact2>. The Bears then responded with Cutler firing a 20-yard TD pass to wide receiver Earl Bennett. The Vikings then completed the remarkable comeback with Favre finding wide receiver Sidney Rice on a 6-yard TD pass on 4th-and-goal with 15 seconds left in regulation. The Bears then took a knee to force overtime. In overtime, the Bears won the toss and marched down the field, stopping at the 35-yard line. However, the potential game-winning 45-yard field goal attempt by Gould went wide right, giving the Vikings a chance to win. After an exchange of punts, the Vikings had the ball at the 26-yard line with 11 minutes left in the period. On the first play of scrimmage, Favre fired a screen pass to Peterson who caught it and went 16 yards, before being confronted by Hunter Hillenmeyer, who caused Peterson to fumble the ball, which was then recovered by Bears' linebacker Nick Roach. The Bears then won on Jay Cutler's game-winning 39-yard TD pass to wide receiver Devin Aromashodu. With the loss, not only did the Vikings fall to 11-4, they also surrendered homefield advantage to the Saints. How many 1-yard touchdown runs were made in the game?

Answer: According to the passage, there were two 1-yard touchdown runs made in the game, both by <fact1>Adrian Peterson</fact1> and <fact2>Adrian Peterson's second 1-yard TD run</fact2>.",2,False,-99999999999999.0
nfl_1596_4f16edca-fe01-4ae8-9092-523548d8d1c4," In the second meeting of the year with the Washington Redskins, the Eagles tried an onside kick to start the game. This backfired when the Redskins running back Quinton Ganther recovered the kick and returned it 25 yards to the Eagles 24-yard line. Four plays later, Redskins quarterback Jason Campbell ran for a two-yard touchdown to score the game's first touchdown, as the Redskins took the lead 7-0. After a holding penalty on Eagles tight end Brent Celek, the Eagles had to settle for a 29-yard field goal by kicker David Akers. On the following drive by the Eagles, quarterback Donovan McNabb found wide receiver DeSean Jackson wide open in the end zone for a 35-yard touchdown to bring the Eagles up 10-7. On the ensuing drive by the Redskins, Campbell threw a 4-yard touchdown pass to Santana Moss to take the lead 14-10. Late in the second quarter, after both teams punting the ball away after three unsuccessful drives, Eagles cornerback Asante Samuel intercepted a Jason Campbell pass that was intended for Santana Moss. The Eagles could not convert a third down with 10 to go, and David Akers kicked a 24-yard field goal to get the Eagles within a point of the Redskins, 14-13. The Redskins received the ball again and Campbell threw a second straight interception to Samuel, who returned it for 17 yards. The Eagles ended the first half with a second straight field goal to take the lead 16-14. The Eagles got the ball to start the second half, but the drive ended with a Sav Rocca punt. Jason Campbell threw a 10-yard touchdown to tight end Fred Davis to take the lead once again, 21-16. After two straight punts for each team, the Eagles got the ball back in the fourth quarter and Donovan McNabb threw an intended pass to Reggie Brown, but the pass was intercepted by Redskins cornerback Justin Tryon. The Redskins scored on a 25-yard field goal by Shaun Suisham, to increase their lead 24-16. The Eagles started their drive on their own 10-yard line after a penalty on the kick return by Dimitri Patterson. The Eagles went 90 yards to score on an Eldra Buckley one-yard touchdown run. Since they were losing by two points, the Eagles decided to go for a two-point conversion. The two-point conversion was successful after rookie running back LeSean McCoy ran in the end zone on a shovel pass from McNabb. The score was tied, 24-24. The Redskins could not score on the next drive, and therefore had to punt to the Eagles. The Eagles scored on a 32-yard field goal by David Akers to take the lead, 27-24. The Eagles got the ball back on downs, and kneeled the ball to run out the clock and win 27-24. how many yards did ganther return?",70b,"Reformatted Question: In the second meeting of the year with the Washington Redskins, the Eagles tried an onside kick to start the game. This backfired when the Redskins running back <fact1>Quinton Ganther recovered the kick</fact1> and <fact2>returned it 25 yards</fact2> to the Eagles 24-yard line. Four plays later, Redskins quarterback Jason Campbell ran for a two-yard touchdown to score the game's first touchdown, as the Redskins took the lead 7-0. After a holding penalty on Eagles tight end Brent Celek, the Eagles had to settle for a 29-yard field goal by kicker David Akers. On the following drive by the Eagles, quarterback Donovan McNabb found wide receiver DeSean Jackson wide open in the end zone for a 35-yard touchdown to bring the Eagles up 10-7. On the ensuing drive by the Redskins, Campbell threw a 4-yard touchdown pass to Santana Moss to take the lead 14-10. Late in the second quarter, after both teams punting the ball away after three unsuccessful drives, Eagles cornerback Asante Samuel intercepted a Jason Campbell pass that was intended for Santana Moss. The Eagles could not convert a third down with 10 to go, and David Akers kicked a 24-yard field goal to get the Eagles within a point of the Redskins, 14-13. The Redskins received the ball again and Campbell threw a second straight interception to Samuel, who returned it for 17 yards. The Eagles ended the first half with a second straight field goal to take the lead 16-14. The Eagles got the ball to start the second half, but the drive ended with a Sav Rocca punt. Jason Campbell threw a 10-yard touchdown to tight end Fred Davis to take the lead once again, 21-16. After two straight punts for each team, the Eagles got the ball back in the fourth quarter and Donovan McNabb threw an intended pass to Reggie Brown, but the pass was intercepted by Redskins cornerback Justin Tryon. The Redskins scored on a 25-yard field goal by Shaun Suisham, to increase their lead 24-16. The Eagles started their drive on their own 10-yard line after a penalty on the kick return by Dimitri Patterson. The Eagles went 90 yards to score on an Eldra Buckley one-yard touchdown run. Since they were losing by two points, the Eagles decided to go for a two-point conversion. The two-point conversion was successful after rookie running back LeSean McCoy ran in the end zone on a shovel pass from McNabb. The score was tied, 24-24. The Redskins could not score on the next drive, and therefore had to punt to the Eagles. The Eagles scored on a 32-yard field goal by David Akers to take the lead, 27-24. The Eagles got the ball back on downs, and kneeled the ball to run out the clock and win 27-24. How many yards did Ganther return?

Answer: According to the passage, <fact1>Quinton Ganther recovered the kick</fact1> and <fact2>returned it 25 yards</fact2>. Therefore, Ganther returned 25 yards.",25,False,-99999999999999.0
history_2456_256a7939-557b-425f-b311-f4e517fcbdd3,"The Russian governments official 2014 military budget is about 2.49 trillion rubles (approximately US$69.3 billion), the List of countries by military expenditures in the world behind the US and China. The official budget is set to rise to 3.03 trillion rubles (approximately US$83.7 billion) in 2015, and 3.36 trillion rubles (approximately US$93.9 billion) in 2016. However, unofficial estimates put the budget significantly higher, for example the Stockholm International Peace Research Institute (SIPRI) 2013 Military Expenditure Database estimated Russias military expenditure in 2012 at US$90.749 billion. This estimate is an increase of more than US$18 billion on SIPRIs estimate of the Russian military budget for 2011 (US$71.9 billion). , Russias military budget is higher than any other European nation. How many fewer US dollars was the Russian military budget in 2014 than it was be in 2015?",70b,"Reformatted Question: The Russian government's official <fact1>2014 military budget is about 2.49 trillion rubles (approximately US$69.3 billion)</fact1>, the List of countries by military expenditures in the world behind the US and China. The official budget is set to rise to <fact2>3.03 trillion rubles (approximately US$83.7 billion) in 2015</fact2>, and 3.36 trillion rubles (approximately US$93.9 billion) in 2016. However, unofficial estimates put the budget significantly higher, for example the Stockholm International Peace Research Institute (SIPRI) 2013 Military Expenditure Database estimated Russia's military expenditure in 2012 at US$90.749 billion. This estimate is an increase of more than US$18 billion on SIPRI's estimate of the Russian military budget for 2011 (US$71.9 billion). , Russia's military budget is higher than any other European nation. How many fewer US dollars was the Russian military budget in 2014 than it was be in 2015?

Answer: According to the passage, the <fact1>2014 military budget was approximately US$69.3 billion</fact1> and the <fact2>2015 military budget was approximately US$83.7 billion</fact2>. To find the difference, we subtract the 2014 budget from the 2015 budget: <fact2>US$83.7 billion</fact2> - <fact1>US$69.3 billion</fact1> = US$14.4 billion. So the answer is {US$14.4 billion}.",14.4,False,-99999999999999.0
history_1250_0b67cac8-bbe9-46a1-9646-a2e6bcc9b9d7,"Armenia gave way to communist power in late 1920. The Soviet 11th Red Army's invasion of the First Republic of Armenia started on the 29th of November 1920. The actual transfer of power took place on December 2 in Yerevan, when the Armenian leadership approved an ultimatum presented to it by the Soviet plenipotentiary Boris Legran. Armenia agreed to join the Soviet sphere, while Soviet Russia agreed to protect its remaining territory from the advancing Turkish army. The Soviets also pledged to take steps to rebuild the army, to protect the Armenians and not to persecute non-communists, although the final condition of this pledge was reneged when the Dashnaks were forced out of the country. The Soviet Government proposed the annexation of the Nagorno-Karabagh and Syunik regions of Armenia to Soviet Azerbaijan. This step was strongly rejected by Garegin Nzhdeh, who declared Syunik as a self-governing region on December 25, 1920. In January 1921 Drastamat Kanayan sent a telegram to Njdeh, suggesting allowing the sovietisation of Syunik, through which they could gain the support of the Bolshevik government in solving the problems of the Armenian lands. Njdeh again proved himself as a long-sighted politician, he did not depart from Syunik and continued his struggle against the Red Army and Soviet Azerbaijan. How many days passed from when the invasion of the First Republic of Armenia started to when Syunik was declared as a self-governing region",70b,"Reformatted Question: Armenia gave way to communist power in late 1920. The Soviet 11th Red Army's invasion of the First Republic of Armenia started on the <fact1>29th of November 1920</fact1>. The actual transfer of power took place on December 2 in Yerevan, when the Armenian leadership approved an ultimatum presented to it by the Soviet plenipotentiary Boris Legran. Armenia agreed to join the Soviet sphere, while Soviet Russia agreed to protect its remaining territory from the advancing Turkish army. The Soviets also pledged to take steps to rebuild the army, to protect the Armenians and not to persecute non-communists, although the final condition of this pledge was reneged when the Dashnaks were forced out of the country. The Soviet Government proposed the annexation of the Nagorno-Karabagh and Syunik regions of Armenia to Soviet Azerbaijan. This step was strongly rejected by Garegin Nzhdeh, who declared Syunik as a self-governing region on <fact2>December 25, 1920</fact2>. In January 1921 Drastamat Kanayan sent a telegram to Njdeh, suggesting allowing the sovietisation of Syunik, through which they could gain the support of the Bolshevik government in solving the problems of the Armenian lands. Njdeh again proved himself as a long-sighted politician, he did not depart from Syunik and continued his struggle against the Red Army and Soviet Azerbaijan. How many days passed from when the invasion of the First Republic of Armenia started to when Syunik was declared as a self-governing region?

Answer: According to the passage, the invasion of the First Republic of Armenia started on <fact1>November 29, 1920</fact1>, and Syunik was declared as a self-governing region on <fact2>December 25, 1920</fact2>. To find the number of days between these dates, we can count the days in December from the 1st to the 25th, which is 25, and add the days from November 29th to the end of the month, which is 1. Therefore, the total number of days is 25 + 1 = 26. However, since the question asks for the number of days between the two dates, we need to subtract 1 from the total, which gives us 26 - 1 = 25 + 1 - 1 = 25.",26,False,-99999999999999.0
nfl_1478_c8394254-70fd-4366-85e3-502c66458edd," Coming off their bye week, the Colts flew to the Edward Jones Dome for a Week 7 interconference duel with the St. Louis Rams.  Indianapolis came out of the gates early in the first quarter as quarterback Peyton Manning completed a six-yard touchdown pass to wide receiver Reggie Wayne.  The Rams would respond with a 30-yard field goal from kicker Josh Brown, yet the Colts answered with Manning hooking up with tight end Dallas Clark on a 22-yard touchdown pass.  Afterwards, running back Joseph Addai would acquire the only score of the second quarter with a six-yard touchdown. St. Louis would begin the third quarter with Brown booting a 45-yard field goal, yet Indianapolis calmly responded with rookie cornerback Jacob Lacey returning an interception 35 yards for a touchdown.  Afterwards, the Colts closed out the game with Manning finding rookie wide receiver Austin Collie on an eight-yard touchdown pass and running back Chad Simpson getting a 31-yard touchdown run. With the win, Indianapolis improved to 6-0 and increased their winning streak to 14 games. How many more spectators were at Old Trafford in 1986 for the first test of the Kangaroo tour of Great Britain and France than the 1989 World Cup Challenege?",70b,"Reformatted Question: Coming off their bye week, the Colts flew to the Edward Jones Dome for a Week 7 interconference duel with the St. Louis Rams.  Indianapolis came out of the gates early in the first quarter as quarterback Peyton Manning completed a six-yard touchdown pass to wide receiver Reggie Wayne.  The Rams would respond with a 30-yard field goal from kicker Josh Brown, yet the Colts answered with Manning hooking up with tight end Dallas Clark on a 22-yard touchdown pass.  Afterwards, running back Joseph Addai would acquire the only score of the second quarter with a six-yard touchdown. St. Louis would begin the third quarter with Brown booting a 45-yard field goal, yet Indianapolis calmly responded with rookie cornerback Jacob Lacey returning an interception 35 yards for a touchdown.  Afterwards, the Colts closed out the game with Manning finding rookie wide receiver Austin Collie on an eight-yard touchdown pass and running back Chad Simpson getting a 31-yard touchdown run. With the win, Indianapolis improved to 6-0 and increased their winning streak to 14 games. How many more spectators were at <fact1>Old Trafford in 1986 for the first test of the Kangaroo tour of Great Britain and France</fact1> than the <fact2>1989 World Cup Challenege</fact2>?

Answer: There is no information provided in the passage about the number of spectators at Old Trafford in 1986 or the 1989 World Cup Challenge. Therefore, it is not possible to answer this question based on the given text.",19815,False,-99999999999999.0
nfl_2234_50615917-af5a-415f-bd18-41b6c4cd78e4," After a huge loss at the Saints, the Colts traveled to Nashville take on the Titans.  The Titans would score 20 unanswered points in the 1st half alone as Rob Bironas would kick a 51-yard field goal for a 3-0 lead in the first quarter.  In the 2nd quarter, Jason McCourty would recover a blocked punt in the end zone sending the game to 10-0, followed up by Bironas nailing a 50-yard field goal for 13-0 and eventual halftime lead of 20-0 when Nate Washington ran for a 3-yard touchdown.  The Colts would manage to get on the board as Adam Vinatieri would kick a 22-yard field goal for a 20-3 lead.  Donald Brown managed to increase his team's points with a 4-yard touchdown run for a 20-10 lead.  The Titans however wrapped the game up when Washington ran for a 14-yard touchdown for a final score of 27-10.With the loss, the Colts fell to 0-8. How many field goals did Vinatieri kick in the second half?",70b,"Reformatted Question: After a huge loss at the Saints, the Colts traveled to Nashville take on the Titans.  The Titans would score 20 unanswered points in the 1st half alone as Rob Bironas would kick a 51-yard field goal for a 3-0 lead in the first quarter.  In the 2nd quarter, Jason McCourty would recover a blocked punt in the end zone sending the game to 10-0, followed up by Bironas nailing a 50-yard field goal for 13-0 and eventual halftime lead of 20-0 when Nate Washington ran for a 3-yard touchdown.  The Colts would manage to get on the board as <fact1>Adam Vinatieri would kick a 22-yard field goal for a 20-3 lead</fact1>.  Donald Brown managed to increase his team's points with a 4-yard touchdown run for a 20-10 lead.  The Titans however wrapped the game up when Washington ran for a 14-yard touchdown for a final score of 27-10.With the loss, the Colts fell to 0-8. How many field goals did Vinatieri kick in the second half?

Answer: According to the passage, <fact1>Vinatieri kicked a 22-yard field goal</fact1> for a 20-3 lead, but this event occurred when ""The Colts would manage to get on the board"" which does not provide information about the timing of this event. However, since the first half ended with a 20-0 lead, and the Colts got on the board with a 20-3 lead, this implies that the event occurred in the second half. Therefore, the answer is 1.",1,False,-99999999999999.0
